k,n,id,orders,generator,P,P_coe,E,E_coe,H,H_coe,D,D_coe,Element,gen_coe
13,15,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,, 1 3,1 0 0 0 0 0 0 0 0 0 0 0
13,,,,,,,,,,,,,,
14,1,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
14,3,0,3,,,,E^2 P=0,0 0 0 0 0 0 0 0 0 0 0 0,"[Toda3]Th4.2(2),\ H(\alpha_{4}^{*}(3))=a_{3}(1)",,,,9,1 0 0 0 0 0 0 0 0 0 0 0
14,5,0,3,,,,E^2 P=0,0 0 0 0 0 0 0 0 0 0 0 0,"[Toda3]Th4.2(2),\ H(\alpha_{4}^{*}(5))=a_{2}(3)",,,,9,1 0 0 0 0 0 0 0 0 0 0 0
14,7,0,3,,,,E^2 P=0,0 0 0 0 0 0 0 0 0 0 0 0,"[Toda3]Th4.2(2),\ H(\alpha_{4}^{*}(7))=a_{1}(5)",,,,9,1 0 0 0 0 0 0 0 0 0 0 0
14,9,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
14,11,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
14,13,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
14,15,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
14,16,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
14,,,,,,,,,,,,,,
15,1,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
15,3,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,"[Toda3]p44,\ H:\pi_{3+k}^3\cong Q_k^1, \ for \ k\neq0",,,,6,1 0 0 0 0 0 0 0 0 0 0 0
15,5,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,6,1 0 0 0 0 0 0 0 0 0 0 0
15,7,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,6,1 0 0 0 0 0 0 0 0 0 0 0
