k,n,id,orders,generator,P,P_coe,E,E_coe,H,H_coe,Element,gen_coe,,
15,7,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
15,9,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
15,11,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
15,13,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
15,15,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
15,17,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
15,,,0,,,,,,,,0,,,
16,1,0,3,AB=\overline{Q}^{1}(\alpha_{1}\beta_{1}),,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,AB
16,3,0,3,b=Q^{2}(\beta_{1}),"[Toda3]p48, \ P(b)=s_{16}(3)",,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,b
16,5,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
16,7,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
16,9,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
16,11,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
16,13,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
16,15,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
16,17,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
16,18,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
16,,,0,,,,,,,,0,,,
17,1,0,3,Q^{1}(\alpha_{4}),,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
17,3,0,3,Q^{2}(\alpha'_{3}),,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
17,3,1,3,B=\overline{Q}^{2}(\beta_{1}),"[Toda3]p48, \ P(B)=s_{17}(3)",,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,B
17,5,0,3,Q^{3}(\alpha_{2}),,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
17,7,0,3,Q^{4}(\alpha_{1}),,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
17,9,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
17,11,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
17,13,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
17,15,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
17,17,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
17,19,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
17,,,0,,,,,,,,0,,,
18,1,0,3,\overline{Q}^{1}(\alpha_{4}),,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
18,3,0,3,\overline{Q}^{2}(3\alpha'_{3}),P(\overline{Q}^{2}(3\alpha'_{3}))=s_{18}(3),,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
18,5,0,3,\overline{Q}^{3}(\alpha_{2}),P(\overline{Q}^{3}(\alpha_{2}))=s_{18}(5),,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
18,7,0,3,\overline{Q}^{4}(\alpha_{1}),P(\overline{Q}^{4}(\alpha_{1}))=s_{18}(7),,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
18,9,0,3,Q^{5}(\iota),P(Q^{5}(\iota))=s_{18}(9),,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
18,11,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
18,13,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
18,15,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
18,17,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
18,19,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
18,20,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
18,,,0,,,,,,,,0,,,
19,1,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
19,3,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
19,5,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
19,7,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
19,9,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
19,11,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
19,13,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
19,15,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
19,17,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
19,19,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
19,21,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
19,,,,,,,,,,,0,,,
20,2,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
20,2,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
20,3,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
20,3,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
20,4,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
20,4,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
20,4,2,0,,,,,,,,,0 0 1 0 0 0 0 0 0 0 0 0,,
20,4,3,0,,,,,,,,,0 0 0 1 0 0 0 0 0 0 0 0,,
20,4,4,0,,,,,,,,,0 0 0 0 1 0 0 0 0 0 0 0,,
20,4,5,0,,,,,,,,,0 0 0 0 0 1 0 0 0 0 0 0,,
20,5,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
20,5,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
20,5,2,0,,,,,,,,,0 0 1 0 0 0 0 0 0 0 0 0,,
20,6,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
20,6,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
20,7,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
20,8,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
20,9,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
20,10,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
20,10,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
20,11,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
20,11,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
20,11,2,0,,,,,,,,,0 0 1 0 0 0 0 0 0 0 0 0,,
20,12,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
20,12,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
20,12,2,0,,,,,,,,,0 0 1 0 0 0 0 0 0 0 0 0,,
20,12,3,0,,,,,,,,,0 0 0 1 0 0 0 0 0 0 0 0,,
20,12,4,0,,,,,,,,,0 0 0 0 1 0 0 0 0 0 0 0,,
20,12,5,0,,,,,,,,,0 0 0 0 0 1 0 0 0 0 0 0,,
20,13,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
20,13,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
20,13,2,0,,,,,,,,,0 0 1 0 0 0 0 0 0 0 0 0,,
20,13,3,0,,,,,,,,,0 0 0 1 0 0 0 0 0 0 0 0,,
20,14,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
20,14,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
20,15,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
20,16,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
20,17,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
20,18,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
20,18,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
20,19,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
20,19,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
20,20,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
20,20,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
20,20,2,0,,,,,,,,,0 0 1 0 0 0 0 0 0 0 0 0,,
20,21,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
20,21,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
20,22,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
20,23,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
20,25,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
20,,,0,,,,,,,,,,,
21,2,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
21,2,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
21,3,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
21,4,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
21,4,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
21,4,2,0,,,,,,,,,0 0 1 0 0 0 0 0 0 0 0 0,,
21,5,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
21,5,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
21,6,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
21,7,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
21,7,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
21,8,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
21,8,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
21,8,2,0,,,,,,,,,0 0 1 0 0 0 0 0 0 0 0 0,,
21,8,3,0,,,,,,,,,0 0 0 1 0 0 0 0 0 0 0 0,,
21,9,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
